date,open,high,low,close,volume
9/14/2018,53.7156,53.975,52.9475,53.2611,127997156
9/17/2018,52.859,53.0494,51.6979,51.843,148780532
9/18/2018,51.8216,52.7876,51.6622,51.9287,126286848
9/19/2018,51.9905,52.257,51.2291,51.9596,108495332
9/20/2018,52.4046,52.89,52.1452,52.3546,106435176
9/21/2018,52.533,52.671,51.7026,51.7907,384986992
9/24/2018,51.5908,52.6473,51.5456,52.5354,110773432
9/25/2018,52.288,53.0184,52.2761,52.8685,98217516
9/26/2018,52.5854,53.2397,52.2903,52.4474,95938824
9/27/2018,53.2564,53.8798,53.1898,53.5253,120724908
9/28/2018,53.4872,53.737,53.304,53.7132,91717456
10/1/2018,54.2391,54.5889,53.8584,54.0749,94403208
10/2/2018,54.0725,54.7269,53.925,54.5556,99152680
10/3/2018,54.7388,55.5525,54.6745,55.2194,114619196
10/4/2018,54.9125,55.286,53.9488,54.2486,128168000
10/5/2018,54.2415,54.3485,52.4855,53.3682,134321852
10/8/2018,52.8733,53.4896,52.395,53.2445,118655692
10/9/2018,53.2136,54.0773,52.8819,53.9821,107564116
10/10/2018,53.6466,53.8584,51.4076,51.4813,167962216
10/11/2018,51.0435,52.2285,50.52,51.0269,212497568
10/12/2018,52.4474,53.0327,51.5955,52.8495,161351404
10/15/2018,52.6235,52.7829,51.6979,51.7193,123164028
10/16/2018,52.0928,53.0589,51.5772,52.859,116735852
10/17/2018,52.8947,52.9756,52.1904,52.6306,91541588
10/18/2018,51.8382,52.2856,50.6818,51.4004,130325260
10/19/2018,51.8858,52.6473,51.7359,52.1833,132314904
10/22/2018,52.2975,53.1469,52.0952,52.5021,115168328
10/23/2018,51.3552,53.1208,51.0863,52.997,155071384
10/24/2018,52.9661,53.3539,51.0483,51.1791,163700652
10/25/2018,51.8026,52.6758,51.5741,52.2999,119423072
10/26/2018,51.3719,52.3927,50.6033,51.4671,189033500
10/29/2018,52.1547,52.2737,49.0377,50.501,183742080
10/30/2018,50.2417,51.2006,49.7943,50.7532,146639960
10/31/2018,51.6051,52.4545,51.5432,52.0762,153435732
11/1/2018,52.1214,52.909,51.5884,52.8757,233292720
11/2/2018,49.8609,50.8365,48.8806,49.3684,365314616
11/5/2018,48.6117,48.6332,47.1532,47.9669,264654676
11/6/2018,48.0454,48.7117,47.9907,48.4856,127531524
11/7/2018,49.0091,49.9823,48.5713,49.9561,133697736
11/8/2018,50.1382,50.1716,49.367,49.7824,101450544
11/9/2018,49.0804,49.1903,48.2925,48.8225,137463000
11/12/2018,47.5164,47.7194,46.2724,46.3631,204542072
11/13/2018,45.7567,47.0819,45.7137,45.8999,187531744
11/14/2018,46.2987,46.4372,44.3956,44.6034,243203828
11/15/2018,44.983,45.8378,44.6272,45.7041,185915204
11/16/2018,45.4868,46.554,45.2385,46.2103,147713012
11/19/2018,45.3675,45.5346,44.1712,44.3789,167683488
11/20/2018,42.5905,43.3307,41.9076,42.2586,271300988
11/21/2018,42.9152,43.0442,42.1559,42.2108,124496840
11/23/2018,41.7715,42.1667,41.0934,41.1387,94495888
11/26/2018,41.6043,41.7739,40.654,41.6951,179994080
11/27/2018,40.9525,41.7309,40.8021,41.6043,165549508
11/28/2018,42.1989,43.2877,41.7691,43.2041,184250156
11/29/2018,43.6148,43.6483,42.4305,42.8722,167079968
11/30/2018,43.0489,43.0585,42.2705,42.6406,158126196
12/3/2018,44.0446,44.1592,43.2686,44.1306,163192008
12/4/2018,43.2065,43.5503,42.0891,42.1893,165377128
12/6/2018,41.0122,41.7333,40.6922,41.719,172393640
12/7/2018,41.4253,41.664,40.186,40.2314,169126524
12/10/2018,39.398,40.6134,38.9993,40.4964,248103976
12/11/2018,40.9883,41.0193,39.8756,40.2648,189126660
12/12/2018,40.6874,41.0504,40.3579,40.377,142510696
12/13/2018,40.7089,41.2056,40.4845,40.8188,127591308
12/14/2018,40.3532,40.3723,39.4649,39.5127,162814840
12/17/2018,39.5055,40.1979,38.856,39.1449,177151688
12/18/2018,39.4888,40.0022,39.2524,39.6535,135366072
12/19/2018,39.6368,39.9831,37.9869,38.4167,196189188
12/20/2018,38.2997,38.708,37.0819,37.4472,259091840
12/21/2018,37.4544,37.7648,35.7281,35.9907,382977536
12/24/2018,35.3747,36.1865,35.0022,35.0595,148676928
12/26/2018,35.4105,37.5428,35.0332,37.5284,234330176
12/27/2018,37.2109,37.4329,35.8331,37.2849,212468260
12/28/2018,37.6072,37.8508,36.9028,37.304,169165696
12/31/2018,37.8532,38.0514,37.3637,37.6645,140013864
1/2/2019,36.984,37.9296,36.8264,37.7075,148158948
1/3/2019,34.379,34.7944,33.9062,33.9516,365248780
1/4/2019,34.5103,35.4702,34.336,35.4009,234428280
1/7/2019,35.506,35.537,34.8374,35.3221,219111056
1/8/2019,35.7113,36.251,35.463,35.9955,164101256
1/9/2019,36.1244,36.8981,35.7281,36.6068,180396324
1/10/2019,36.4133,36.7644,36.0218,36.7238,143122680
1/11/2019,36.5041,36.6999,36.177,36.3632,108092964
1/14/2019,36.0194,36.1197,35.6302,35.8164,129756744
1/15/2019,35.8809,36.6259,35.8283,36.5495,114841296
1/16/2019,36.5518,37.2204,36.5327,36.996,122278824
1/17/2019,36.8193,37.6454,36.5948,37.2156,119284640
1/18/2019,37.6072,37.698,37.2444,37.4449,135004092
1/22/2019,37.347,37.4234,36.442,36.6044,121575880
1/23/2019,36.8073,37.0437,36.2223,36.7524,92522280
